Fecha,ID_Producto,Producto,Categoria,ID_Cliente,Cliente,Cantidad,Precio_Unitario,Region,Canal,Factura_ID
2023-04-14 00:00:00,P001,Zapatillas Running,Calzado,C006,UrbanFit,10,120.5,Cordoba,Online,F557070
2025-02-19 00:00:00,P005,Medias Tecnicas,Indumentaria,C007,Fitness Pro,6,25.0,Corrientes,Online,F561385
2024-03-31 00:00:00,P007,Buzo Deportivo,Indumentaria,C006,UrbanFit,5,150.0,Mendoza,Tienda,F959555
2024-06-20 00:00:00,P005,Medias Tecnicas,Indumentaria,C010,Running World,10,25.0,Salta,Mayorista,F208673
2023-03-09 00:00:00,P001,Zapatillas Running,Calzado,C001,Deportes SA,8,120.5,Tucuman,Mayorista,F640979
2025-12-19 00:00:00,P004,Campera Rompeviento,Indumentaria,C004,Tiendas Centro,4,210.0,Santa Fe,Tienda,F704920
2025-03-14 00:00:00,P002,Remera Deportiva,Indumentaria,C008,TodoDeporte,12,45.0,Cordoba,Mayorista,F774586
2023-07-24 00:00:00,P005,Medias Tecnicas,Indumentaria,C010,Running World,16,25.0,Cordoba,Mayorista,F319076
2024-05-24 00:00:00,P010,Guantes Invierno,Accesorios,C003,Outlet Sur,16,70.0,Entre Rios,Online,F569130
2025-06-29 00:00:00,P001,Zapatillas Running,Calzado,C002,Indumentaria Norte,20,120.5,Tucuman,Mayorista,F123815
2025-03-17 00:00:00,P007,Buzo Deportivo,Indumentaria,C010,Running World,6,150.0,Corrientes,Online,F398872
2023-07-12 00:00:00,P002,Remera Deportiva,Indumentaria,C009,ZonaActiva,9,45.0,Cordoba,Tienda,F551183
2025-07-19 00:00:00,P009,Mochila Gym,Accesorios,C010,Running World,5,180.0,Salta,Tienda,F154607
2023-08-04 00:00:00,P010,Guantes Invierno,Accesorios,C002,Indumentaria Norte,20,70.0,Mendoza,Tienda,F833000
2024-05-16 00:00:00,P007,Buzo Deportivo,Indumentaria,C010,Running World,2,150.0,Santa Fe,Mayorista,F811407
2025-08-10 00:00:00,P009,Mochila Gym,Accesorios,C007,Fitness Pro,3,180.0,Corrientes,Mayorista,F920582
2025-05-12 00:00:00,P001,Zapatillas Running,Calzado,C007,Fitness Pro,7,120.5,Chaco,Online,F374075
2024-02-12 00:00:00,P007,Buzo Deportivo,Indumentaria,C005,MegaSports,11,150.0,Salta,Tienda,F620119
2025-09-22 00:00:00,P004,Campera Rompeviento,Indumentaria,C009,ZonaActiva,7,210.0,Tucuman,Tienda,F411012
2023-08-14 00:00:00,P010,Guantes Invierno,Accesorios,C008,TodoDeporte,14,70.0,Entre Rios,Mayorista,F953685
2024-10-31 00:00:00,P001,Zapatillas Running,Calzado,C001,Deportes SA,10,120.5,Buenos Aires,Online,F851057
2025-03-18 00:00:00,P001,Zapatillas Running,Calzado,C006,UrbanFit,20,120.5,Salta,Online,F327948
2025-10-04 00:00:00,P002,Remera Deportiva,Indumentaria,C002,Indumentaria Norte,16,45.0,Salta,Mayorista,F250500
2023-01-04 00:00:00,P002,Remera Deportiva,Indumentaria,C004,Tiendas Centro,7,45.0,Santa Fe,Mayorista,F450850
2025-11-10 00:00:00,P003,Short Entrenamiento,Indumentaria,C006,UrbanFit,11,60.0,Cordoba,Mayorista,F479895
2025-01-03 00:00:00,P003,Short Entrenamiento,Indumentaria,C002,Indumentaria Norte,18,60.0,Salta,Tienda,F565053
2023-06-07 00:00:00,P009,Mochila Gym,Accesorios,C005,MegaSports,19,180.0,Corrientes,Online,F469412
2025-06-21 00:00:00,P001,Zapatillas Running,Calzado,C004,Tiendas Centro,19,120.5,Corrientes,Tienda,F546633
2023-12-27 00:00:00,P009,Mochila Gym,Accesorios,C002,Indumentaria Norte,6,180.0,Cordoba,Tienda,F531282
2024-01-31 00:00:00,P002,Remera Deportiva,Indumentaria,C005,MegaSports,3,45.0,Chaco,Mayorista,F501059
2023-09-07 00:00:00,P004,Campera Rompeviento,Indumentaria,C001,Deportes SA,3,210.0,Buenos Aires,Tienda,F168467
2024-07-23 00:00:00,P007,Buzo Deportivo,Indumentaria,C001,Deportes SA,1,150.0,Tucuman,Tienda,F638680
2025-01-02 00:00:00,P002,Remera Deportiva,Indumentaria,C010,Running World,1,45.0,Tucuman,Tienda,F909504
2025-06-09 00:00:00,P002,Remera Deportiva,Indumentaria,C006,UrbanFit,6,45.0,Neuquen,Mayorista,F681648
2025-04-29 00:00:00,P005,Medias Tecnicas,Indumentaria,C009,ZonaActiva,16,25.0,Buenos Aires,Online,F775515
2023-07-30 00:00:00,P004,Campera Rompeviento,Indumentaria,C002,Indumentaria Norte,1,210.0,Santa Fe,Mayorista,F895455
2023-02-25 00:00:00,P007,Buzo Deportivo,Indumentaria,C001,Deportes SA,12,150.0,Neuquen,Mayorista,F423664
2023-12-31 00:00:00,P005,Medias Tecnicas,Indumentaria,C004,Tiendas Centro,1,25.0,Buenos Aires,Mayorista,F493780
2023-11-17 00:00:00,P001,Zapatillas Running,Calzado,C005,MegaSports,10,120.5,Tucuman,Mayorista,F622184
2023-10-10 00:00:00,P009,Mochila Gym,Accesorios,C005,MegaSports,7,180.0,Entre Rios,Mayorista,F329608
2025-10-10 00:00:00,P008,Botines Futbol,Calzado,C003,Outlet Sur,4,250.0,Tucuman,Online,F166378
2023-08-31 00:00:00,P003,Short Entrenamiento,Indumentaria,C010,Running World,14,60.0,Buenos Aires,Tienda,F266426
2023-12-26 00:00:00,P004,Campera Rompeviento,Indumentaria,C003,Outlet Sur,20,210.0,Buenos Aires,Tienda,F772062
2025-01-17 00:00:00,P007,Buzo Deportivo,Indumentaria,C001,Deportes SA,3,150.0,Santa Fe,Online,F164649
2023-01-18 00:00:00,P008,Botines Futbol,Calzado,C001,Deportes SA,2,250.0,Tucuman,Tienda,F542678
2024-04-18 00:00:00,P004,Campera Rompeviento,Indumentaria,C009,ZonaActiva,18,210.0,Cordoba,Online,F532842
2024-03-19 00:00:00,P003,Short Entrenamiento,Indumentaria,C004,Tiendas Centro,10,60.0,Cordoba,Mayorista,F585430
2024-05-20 00:00:00,P001,Zapatillas Running,Calzado,C001,Deportes SA,5,120.5,Buenos Aires,Online,F713553
2023-09-23 00:00:00,P005,Medias Tecnicas,Indumentaria,C001,Deportes SA,5,25.0,Neuquen,Tienda,F641141
2024-11-08 00:00:00,P004,Campera Rompeviento,Indumentaria,C006,UrbanFit,12,210.0,Salta,Mayorista,F335459
2024-10-24 00:00:00,P010,Guantes Invierno,Accesorios,C007,Fitness Pro,5,70.0,Tucuman,Mayorista,F624366
2024-01-04 00:00:00,P008,Botines Futbol,Calzado,C003,Outlet Sur,18,250.0,Neuquen,Mayorista,F678048
2025-06-17 00:00:00,P008,Botines Futbol,Calzado,C008,TodoDeporte,4,250.0,Chaco,Online,F383250
2024-10-18 00:00:00,P002,Remera Deportiva,Indumentaria,C004,Tiendas Centro,5,45.0,Santa Fe,Mayorista,F175237
2025-03-04 00:00:00,P008,Botines Futbol,Calzado,C008,TodoDeporte,18,250.0,Entre Rios,Online,F734677
2024-05-25 00:00:00,P003,Short Entrenamiento,Indumentaria,C010,Running World,4,60.0,Buenos Aires,Online,F450051
2024-12-22 00:00:00,P008,Botines Futbol,Calzado,C010,Running World,7,250.0,Salta,Online,F419818
2025-09-02 00:00:00,P005,Medias Tecnicas,Indumentaria,C007,Fitness Pro,7,25.0,Mendoza,Mayorista,F944258
2025-05-04 00:00:00,P004,Campera Rompeviento,Indumentaria,C002,Indumentaria Norte,15,210.0,Chaco,Tienda,F602489
2023-01-23 00:00:00,P009,Mochila Gym,Accesorios,C001,Deportes SA,8,180.0,Mendoza,Online,F426672
2025-08-12 00:00:00,P010,Guantes Invierno,Accesorios,C006,UrbanFit,15,70.0,Corrientes,Tienda,F653418
2025-10-08 00:00:00,P004,Campera Rompeviento,Indumentaria,C009,ZonaActiva,14,210.0,Santa Fe,Mayorista,F755372
2025-05-19 00:00:00,P005,Medias Tecnicas,Indumentaria,C006,UrbanFit,20,25.0,Salta,Mayorista,F934905
2024-10-15 00:00:00,P010,Guantes Invierno,Accesorios,C001,Deportes SA,7,70.0,Salta,Online,F258814
2025-05-23 00:00:00,P006,Gorra Visera,Accesorios,C006,UrbanFit,9,35.0,Chaco,Mayorista,F790545
2023-04-25 00:00:00,P007,Buzo Deportivo,Indumentaria,C007,Fitness Pro,13,150.0,Neuquen,Mayorista,F975634
2024-03-03 00:00:00,P006,Gorra Visera,Accesorios,C009,ZonaActiva,11,35.0,Cordoba,Tienda,F557753
2023-10-12 00:00:00,P002,Remera Deportiva,Indumentaria,C010,Running World,8,45.0,Salta,Tienda,F848844
2023-10-14 00:00:00,P004,Campera Rompeviento,Indumentaria,C001,Deportes SA,17,210.0,Corrientes,Online,F814898
2024-06-22 00:00:00,P007,Buzo Deportivo,Indumentaria,C009,ZonaActiva,2,150.0,Tucuman,Mayorista,F967813
2025-09-24 00:00:00,P005,Medias Tecnicas,Indumentaria,C007,Fitness Pro,17,25.0,Neuquen,Mayorista,F687911
2024-10-15 00:00:00,P001,Zapatillas Running,Calzado,C006,UrbanFit,8,120.5,Neuquen,Tienda,F218212
2025-05-21 00:00:00,P007,Buzo Deportivo,Indumentaria,C006,UrbanFit,2,150.0,Tucuman,Online,F855364
2025-06-10 00:00:00,P009,Mochila Gym,Accesorios,C004,Tiendas Centro,2,180.0,Corrientes,Tienda,F487056
2024-05-15 00:00:00,P001,Zapatillas Running,Calzado,C007,Fitness Pro,18,120.5,Buenos Aires,Mayorista,F623671
2023-11-28 00:00:00,P003,Short Entrenamiento,Indumentaria,C008,TodoDeporte,19,60.0,Entre Rios,Online,F456770
2024-11-23 00:00:00,P003,Short Entrenamiento,Indumentaria,C004,Tiendas Centro,6,60.0,Cordoba,Online,F984926
2025-05-01 00:00:00,P005,Medias Tecnicas,Indumentaria,C006,UrbanFit,19,25.0,Buenos Aires,Mayorista,F175417
2025-07-19 00:00:00,P004,Campera Rompeviento,Indumentaria,C009,ZonaActiva,11,210.0,Salta,Tienda,F554922
2025-11-06 00:00:00,P010,Guantes Invierno,Accesorios,C006,UrbanFit,11,70.0,Mendoza,Online,F668829
2024-02-23 00:00:00,P010,Guantes Invierno,Accesorios,C007,Fitness Pro,5,70.0,Neuquen,Mayorista,F782818
2024-10-01 00:00:00,P003,Short Entrenamiento,Indumentaria,C002,Indumentaria Norte,14,60.0,Chaco,Mayorista,F737993
2023-03-16 00:00:00,P008,Botines Futbol,Calzado,C006,UrbanFit,5,250.0,Neuquen,Online,F898428
2023-06-19 00:00:00,P009,Mochila Gym,Accesorios,C007,Fitness Pro,8,180.0,Mendoza,Mayorista,F152912
2023-01-01 00:00:00,P006,Gorra Visera,Accesorios,C007,Fitness Pro,20,35.0,Santa Fe,Mayorista,F632129
2024-07-10 00:00:00,P010,Guantes Invierno,Accesorios,C008,TodoDeporte,10,70.0,Entre Rios,Online,F142196
2024-12-06 00:00:00,P007,Buzo Deportivo,Indumentaria,C007,Fitness Pro,17,150.0,Neuquen,Tienda,F530662
2023-07-11 00:00:00,P006,Gorra Visera,Accesorios,C008,TodoDeporte,6,35.0,Corrientes,Tienda,F667332
2025-01-02 00:00:00,P005,Medias Tecnicas,Indumentaria,C001,Deportes SA,19,25.0,Buenos Aires,Mayorista,F268175
2025-09-18 00:00:00,P010,Guantes Invierno,Accesorios,C003,Outlet Sur,1,70.0,Salta,Online,F558833
2023-01-17 00:00:00,P001,Zapatillas Running,Calzado,C005,MegaSports,5,120.5,Mendoza,Tienda,F593274
2023-06-19 00:00:00,P004,Campera Rompeviento,Indumentaria,C008,TodoDeporte,2,210.0,Santa Fe,Mayorista,F569746
2023-06-15 00:00:00,P008,Botines Futbol,Calzado,C010,Running World,16,250.0,Buenos Aires,Tienda,F218208
2024-08-01 00:00:00,P007,Buzo Deportivo,Indumentaria,C007,Fitness Pro,18,150.0,Salta,Mayorista,F492427
2024-05-29 00:00:00,P008,Botines Futbol,Calzado,C008,TodoDeporte,8,250.0,Buenos Aires,Online,F307620
2025-10-31 00:00:00,P006,Gorra Visera,Accesorios,C007,Fitness Pro,7,35.0,Tucuman,Tienda,F149692
2025-10-25 00:00:00,P008,Botines Futbol,Calzado,C007,Fitness Pro,13,250.0,Neuquen,Mayorista,F684430
2025-01-06 00:00:00,P009,Mochila Gym,Accesorios,C001,Deportes SA,3,180.0,Salta,Mayorista,F498495
2025-10-15 00:00:00,P010,Guantes Invierno,Accesorios,C006,UrbanFit,17,70.0,Salta,Mayorista,F765974
2023-02-25 00:00:00,P002,Remera Deportiva,Indumentaria,C002,Indumentaria Norte,5,45.0,Buenos Aires,Mayorista,F995267
2023-07-15 00:00:00,P006,Gorra Visera,Accesorios,C006,UrbanFit,7,35.0,Mendoza,Online,F235696
2024-04-11 00:00:00,P001,Zapatillas Running,Calzado,C009,ZonaActiva,6,120.5,Corrientes,Tienda,F497066
2024-01-31 00:00:00,P002,Remera Deportiva,Indumentaria,C006,UrbanFit,1,45.0,Mendoza,Mayorista,F241297
2024-09-04 00:00:00,P006,Gorra Visera,Accesorios,C007,Fitness Pro,19,35.0,Neuquen,Online,F769280
2025-07-19 00:00:00,P004,Campera Rompeviento,Indumentaria,C006,UrbanFit,4,210.0,Tucuman,Mayorista,F371726
2024-07-21 00:00:00,P009,Mochila Gym,Accesorios,C006,UrbanFit,1,180.0,Corrientes,Online,F699013
2024-01-12 00:00:00,P010,Guantes Invierno,Accesorios,C004,Tiendas Centro,7,70.0,Neuquen,Mayorista,F324907
2025-08-23 00:00:00,P010,Guantes Invierno,Accesorios,C004,Tiendas Centro,19,70.0,Buenos Aires,Tienda,F567496
2024-01-19 00:00:00,P004,Campera Rompeviento,Indumentaria,C010,Running World,9,210.0,Entre Rios,Tienda,F787045
2025-09-23 00:00:00,P002,Remera Deportiva,Indumentaria,C004,Tiendas Centro,10,45.0,Santa Fe,Tienda,F190180
2023-10-07 00:00:00,P009,Mochila Gym,Accesorios,C006,UrbanFit,16,180.0,Cordoba,Online,F859853
2025-07-01 00:00:00,P009,Mochila Gym,Accesorios,C010,Running World,14,180.0,Cordoba,Mayorista,F898011
2024-01-03 00:00:00,P004,Campera Rompeviento,Indumentaria,C007,Fitness Pro,8,210.0,Neuquen,Online,F605021
2025-12-15 00:00:00,P010,Guantes Invierno,Accesorios,C006,UrbanFit,7,70.0,Santa Fe,Tienda,F787036
2024-02-22 00:00:00,P005,Medias Tecnicas,Indumentaria,C010,Running World,3,25.0,Salta,Tienda,F805870
2024-01-15 00:00:00,P008,Botines Futbol,Calzado,C008,TodoDeporte,8,250.0,Salta,Mayorista,F359918
2024-04-14 00:00:00,P008,Botines Futbol,Calzado,C007,Fitness Pro,18,250.0,Salta,Tienda,F666674
2023-12-07 00:00:00,P005,Medias Tecnicas,Indumentaria,C010,Running World,12,25.0,Santa Fe,Online,F376096
2024-04-16 00:00:00,P008,Botines Futbol,Calzado,C007,Fitness Pro,10,250.0,Mendoza,Mayorista,F917354
2024-10-29 00:00:00,P010,Guantes Invierno,Accesorios,C003,Outlet Sur,9,70.0,Tucuman,Mayorista,F348506
2023-08-31 00:00:00,P009,Mochila Gym,Accesorios,C004,Tiendas Centro,5,180.0,Buenos Aires,Tienda,F933846
2023-10-05 00:00:00,P002,Remera Deportiva,Indumentaria,C002,Indumentaria Norte,20,45.0,Mendoza,Mayorista,F216391
2023-09-11 00:00:00,P010,Guantes Invierno,Accesorios,C007,Fitness Pro,15,70.0,Entre Rios,Online,F714044
2023-01-20 00:00:00,P009,Mochila Gym,Accesorios,C008,TodoDeporte,15,180.0,Mendoza,Mayorista,F587910
2024-12-04 00:00:00,P005,Medias Tecnicas,Indumentaria,C008,TodoDeporte,17,25.0,Neuquen,Online,F979159
2024-01-03 00:00:00,P003,Short Entrenamiento,Indumentaria,C004,Tiendas Centro,2,60.0,Mendoza,Tienda,F100630
2023-11-10 00:00:00,P005,Medias Tecnicas,Indumentaria,C003,Outlet Sur,15,25.0,Chaco,Online,F111605
2025-03-17 00:00:00,P003,Short Entrenamiento,Indumentaria,C010,Running World,16,60.0,Entre Rios,Mayorista,F348565
2024-10-12 00:00:00,P009,Mochila Gym,Accesorios,C004,Tiendas Centro,9,180.0,Mendoza,Tienda,F840753
2023-12-29 00:00:00,P001,Zapatillas Running,Calzado,C001,Deportes SA,19,120.5,Corrientes,Mayorista,F354522
2024-10-27 00:00:00,P008,Botines Futbol,Calzado,C005,MegaSports,20,250.0,Salta,Tienda,F577852
2025-04-28 00:00:00,P008,Botines Futbol,Calzado,C007,Fitness Pro,9,250.0,Chaco,Online,F105277
2025-08-12 00:00:00,P001,Zapatillas Running,Calzado,C006,UrbanFit,6,120.5,Buenos Aires,Tienda,F142902
2023-10-18 00:00:00,P008,Botines Futbol,Calzado,C005,MegaSports,12,250.0,Entre Rios,Tienda,F794128
2023-02-10 00:00:00,P010,Guantes Invierno,Accesorios,C010,Running World,3,70.0,Corrientes,Online,F991317
2023-04-19 00:00:00,P007,Buzo Deportivo,Indumentaria,C002,Indumentaria Norte,20,150.0,Chaco,Online,F618959
2025-01-15 00:00:00,P008,Botines Futbol,Calzado,C005,MegaSports,13,250.0,Buenos Aires,Tienda,F510189
2025-07-18 00:00:00,P008,Botines Futbol,Calzado,C008,TodoDeporte,1,250.0,Cordoba,Online,F256264
2024-01-26 00:00:00,P002,Remera Deportiva,Indumentaria,C002,Indumentaria Norte,3,45.0,Buenos Aires,Online,F249355
2025-04-04 00:00:00,P008,Botines Futbol,Calzado,C006,UrbanFit,2,250.0,Neuquen,Tienda,F999624
2025-10-25 00:00:00,P010,Guantes Invierno,Accesorios,C010,Running World,4,70.0,Neuquen,Mayorista,F558059
2025-08-04 00:00:00,P002,Remera Deportiva,Indumentaria,C008,TodoDeporte,19,45.0,Mendoza,Online,F173067
2023-02-19 00:00:00,P005,Medias Tecnicas,Indumentaria,C002,Indumentaria Norte,15,25.0,Neuquen,Online,F930851
2025-07-12 00:00:00,P007,Buzo Deportivo,Indumentaria,C006,UrbanFit,14,150.0,Buenos Aires,Mayorista,F153759
2024-09-08 00:00:00,P004,Campera Rompeviento,Indumentaria,C006,UrbanFit,1,210.0,Santa Fe,Tienda,F825915
2023-11-22 00:00:00,P004,Campera Rompeviento,Indumentaria,C007,Fitness Pro,10,210.0,Mendoza,Online,F729735
2024-11-17 00:00:00,P009,Mochila Gym,Accesorios,C005,MegaSports,2,180.0,Buenos Aires,Tienda,F797181
2023-09-15 00:00:00,P008,Botines Futbol,Calzado,C006,UrbanFit,4,250.0,Neuquen,Tienda,F333968
2024-06-23 00:00:00,P010,Guantes Invierno,Accesorios,C003,Outlet Sur,20,70.0,Buenos Aires,Mayorista,F141659
2023-01-31 00:00:00,P010,Guantes Invierno,Accesorios,C005,MegaSports,16,70.0,Cordoba,Tienda,F325263
2025-08-01 00:00:00,P003,Short Entrenamiento,Indumentaria,C006,UrbanFit,13,60.0,Mendoza,Mayorista,F368902
2025-02-04 00:00:00,P009,Mochila Gym,Accesorios,C005,MegaSports,17,180.0,Santa Fe,Mayorista,F271452
2023-12-25 00:00:00,P010,Guantes Invierno,Accesorios,C008,TodoDeporte,1,70.0,Tucuman,Tienda,F685572
2025-01-06 00:00:00,P004,Campera Rompeviento,Indumentaria,C004,Tiendas Centro,3,210.0,Cordoba,Tienda,F155480
2023-11-11 00:00:00,P003,Short Entrenamiento,Indumentaria,C002,Indumentaria Norte,6,60.0,Cordoba,Online,F147819
2025-03-20 00:00:00,P009,Mochila Gym,Accesorios,C006,UrbanFit,12,180.0,Tucuman,Mayorista,F623562
2023-03-28 00:00:00,P008,Botines Futbol,Calzado,C010,Running World,18,250.0,Entre Rios,Online,F763645
2024-09-12 00:00:00,P006,Gorra Visera,Accesorios,C006,UrbanFit,1,35.0,Entre Rios,Mayorista,F273550
2025-01-11 00:00:00,P010,Guantes Invierno,Accesorios,C008,TodoDeporte,15,70.0,Santa Fe,Mayorista,F741099
2024-07-21 00:00:00,P003,Short Entrenamiento,Indumentaria,C010,Running World,16,60.0,Entre Rios,Mayorista,F230359
2024-07-11 00:00:00,P002,Remera Deportiva,Indumentaria,C005,MegaSports,13,45.0,Neuquen,Tienda,F605876
2024-09-10 00:00:00,P006,Gorra Visera,Accesorios,C009,ZonaActiva,13,35.0,Tucuman,Online,F176927
2024-03-04 00:00:00,P009,Mochila Gym,Accesorios,C007,Fitness Pro,1,180.0,Salta,Online,F966140
2023-04-30 00:00:00,P010,Guantes Invierno,Accesorios,C010,Running World,8,70.0,Tucuman,Online,F956616
2024-09-26 00:00:00,P003,Short Entrenamiento,Indumentaria,C004,Tiendas Centro,5,60.0,Corrientes,Tienda,F201517
2023-12-18 00:00:00,P009,Mochila Gym,Accesorios,C005,MegaSports,4,180.0,Entre Rios,Tienda,F296426
2024-11-05 00:00:00,P001,Zapatillas Running,Calzado,C007,Fitness Pro,16,120.5,Santa Fe,Mayorista,F950769
2023-07-11 00:00:00,P006,Gorra Visera,Accesorios,C002,Indumentaria Norte,5,35.0,Santa Fe,Mayorista,F423180
2023-12-15 00:00:00,P003,Short Entrenamiento,Indumentaria,C006,UrbanFit,9,60.0,Neuquen,Tienda,F902875
2024-01-17 00:00:00,P010,Guantes Invierno,Accesorios,C010,Running World,18,70.0,Buenos Aires,Tienda,F640156
2025-10-06 00:00:00,P008,Botines Futbol,Calzado,C004,Tiendas Centro,17,250.0,Entre Rios,Mayorista,F475245
2024-05-14 00:00:00,P009,Mochila Gym,Accesorios,C001,Deportes SA,10,180.0,Mendoza,Mayorista,F214268
2025-07-23 00:00:00,P001,Zapatillas Running,Calzado,C001,Deportes SA,8,120.5,Santa Fe,Online,F652990
2023-06-23 00:00:00,P007,Buzo Deportivo,Indumentaria,C001,Deportes SA,18,150.0,Chaco,Tienda,F485933
2023-08-01 00:00:00,P001,Zapatillas Running,Calzado,C001,Deportes SA,3,120.5,Neuquen,Mayorista,F982262
2023-06-04 00:00:00,P003,Short Entrenamiento,Indumentaria,C009,ZonaActiva,15,60.0,Chaco,Mayorista,F961483
2024-09-08 00:00:00,P005,Medias Tecnicas,Indumentaria,C005,MegaSports,5,25.0,Chaco,Mayorista,F666766
2023-01-08 00:00:00,P002,Remera Deportiva,Indumentaria,C003,Outlet Sur,19,45.0,Tucuman,Online,F794528
2024-08-25 00:00:00,P009,Mochila Gym,Accesorios,C009,ZonaActiva,10,180.0,Corrientes,Tienda,F229424
2024-05-25 00:00:00,P006,Gorra Visera,Accesorios,C009,ZonaActiva,18,35.0,Entre Rios,Tienda,F358213
2023-09-29 00:00:00,P007,Buzo Deportivo,Indumentaria,C006,UrbanFit,3,150.0,Buenos Aires,Tienda,F862343
