Fecha,ID_Producto,Producto,ID_Cliente,Cliente,Cantidad,Precio_Unitario,Region,Canal,Factura_ID
2023-07-12,P002,Remera Deportiva,C009,ZonaActiva,9,45.0,Córdoba,Tienda,F551183
2025-07-19,P009,Mochila Gym,C010,Running World,5,180.0,Salta,Tienda,F154607
2023-08-04,P010,Guantes Invierno,C002,Indumentaria Norte,20,70.0,Mendoza,Tienda,F833000
2024-05-16,P007,Buzo Deportivo,C010,Running World,2,150.0,Santa Fe,Mayorista,F811407
2025-08-10,P009,Mochila Gym,C007,Fitness Pro,3,180.0,Corrientes,Mayorista,F920582
2025-05-12,P001,Zapatillas Running,C007,Fitness Pro,7,120.5,Chaco,Online,F374075
2024-02-12,P007,Buzo Deportivo,C005,MegaSports,11,150.0,Salta,Tienda,F620119
2025-09-22,P004,Campera Rompeviento,C009,ZonaActiva,7,210.0,Tucumán,Tienda,F411012
2023-08-14,P010,Guantes Invierno,C008,TodoDeporte,14,70.0,Entre Ríos,Mayorista,F953685
2024-10-31,P001,Zapatillas Running,C001,Deportes SA,10,120.5,Buenos Aires,Online,F851057
2025-03-18,P001,Zapatillas Running,C006,UrbanFit,20,120.5,Salta,Online,F327948
2025-10-04,P002,Remera Deportiva,C002,Indumentaria Norte,16,45.0,Salta,Mayorista,F250500
2023-01-04,P002,Remera Deportiva,C004,Tiendas Centro,7,45.0,Santa Fe,Mayorista,F450850
2025-11-10,P003,Short Entrenamiento,C006,UrbanFit,11,60.0,Córdoba,Mayorista,F479895
2025-01-03,P003,Short Entrenamiento,C002,Indumentaria Norte,18,60.0,Salta,Tienda,F565053
2023-06-07,P009,Mochila Gym,C005,MegaSports,19,180.0,Corrientes,Online,F469412
2025-06-21,P001,Zapatillas Running,C004,Tiendas Centro,19,120.5,Corrientes,Tienda,F546633
2023-12-27,P009,Mochila Gym,C002,Indumentaria Norte,6,180.0,Córdoba,Tienda,F531282
2024-01-31,P002,Remera Deportiva,C005,MegaSports,3,45.0,Chaco,Mayorista,F501059
2023-09-07,P004,Campera Rompeviento,C001,Deportes SA,3,210.0,Buenos Aires,Tienda,F168467
2024-07-23,P007,Buzo Deportivo,C001,Deportes SA,1,150.0,Tucumán,Tienda,F638680
2025-01-02,P002,Remera Deportiva,C010,Running World,1,45.0,Tucumán,Tienda,F909504
2025-06-09,P002,Remera Deportiva,C006,UrbanFit,6,45.0,Neuquén,Mayorista,F681648
2025-04-29,P005,Medias Técnicas,C009,ZonaActiva,16,25.0,Buenos Aires,Online,F775515
2023-07-30,P004,Campera Rompeviento,C002,Indumentaria Norte,1,210.0,Santa Fe,Mayorista,F895455
2023-02-25,P007,Buzo Deportivo,C001,Deportes SA,12,150.0,Neuquén,Mayorista,F423664
2023-12-31,P005,Medias Técnicas,C004,Tiendas Centro,1,25.0,Buenos Aires,Mayorista,F493780
2023-11-17,P001,Zapatillas Running,C005,MegaSports,10,120.5,Tucumán,Mayorista,F622184
2023-10-10,P009,Mochila Gym,C005,MegaSports,7,180.0,Entre Ríos,Mayorista,F329608
2025-10-10,P008,Botines Futbol,C003,Outlet Sur,4,250.0,Tucumán,Online,F166378
2023-08-31,P003,Short Entrenamiento,C010,Running World,14,60.0,Buenos Aires,Tienda,F266426
2023-12-26,P004,Campera Rompeviento,C003,Outlet Sur,20,210.0,Buenos Aires,Tienda,F772062
2025-01-17,P007,Buzo Deportivo,C001,Deportes SA,3,150.0,Santa Fe,Online,F164649
2023-01-18,P008,Botines Futbol,C001,Deportes SA,2,250.0,Tucumán,Tienda,F542678
2024-04-18,P004,Campera Rompeviento,C009,ZonaActiva,18,210.0,Córdoba,Online,F532842
2024-03-19,P003,Short Entrenamiento,C004,Tiendas Centro,10,60.0,Córdoba,Mayorista,F585430
2024-05-20,P001,Zapatillas Running,C001,Deportes SA,5,120.5,Buenos Aires,Online,F713553
2023-09-23,P005,Medias Técnicas,C001,Deportes SA,5,25.0,Neuquén,Tienda,F641141
2024-11-08,P004,Campera Rompeviento,C006,UrbanFit,12,210.0,Salta,Mayorista,F335459
2024-10-24,P010,Guantes Invierno,C007,Fitness Pro,5,70.0,Tucumán,Mayorista,F624366
2024-01-04,P008,Botines Futbol,C003,Outlet Sur,18,250.0,Neuquén,Mayorista,F678048
2025-06-17,P008,Botines Futbol,C008,TodoDeporte,4,250.0,Chaco,Online,F383250
2024-10-18,P002,Remera Deportiva,C004,Tiendas Centro,5,45.0,Santa Fe,Mayorista,F175237
2025-03-04,P008,Botines Futbol,C008,TodoDeporte,18,250.0,Entre Ríos,Online,F734677
2024-05-25,P003,Short Entrenamiento,C010,Running World,4,60.0,Buenos Aires,Online,F450051
2024-12-22,P008,Botines Futbol,C010,Running World,7,250.0,Salta,Online,F419818
2025-09-02,P005,Medias Técnicas,C007,Fitness Pro,7,25.0,Mendoza,Mayorista,F944258
2025-05-04,P004,Campera Rompeviento,C002,Indumentaria Norte,15,210.0,Chaco,Tienda,F602489
2023-01-23,P009,Mochila Gym,C001,Deportes SA,8,180.0,Mendoza,Online,F426672
2025-08-12,P010,Guantes Invierno,C006,UrbanFit,15,70.0,Corrientes,Tienda,F653418
2025-10-08,P004,Campera Rompeviento,C009,ZonaActiva,14,210.0,Santa Fe,Mayorista,F755372
2025-05-19,P005,Medias Técnicas,C006,UrbanFit,20,25.0,Salta,Mayorista,F934905
2024-10-15,P010,Guantes Invierno,C001,Deportes SA,7,70.0,Salta,Online,F258814
2025-05-23,P006,Gorra Visera,C006,UrbanFit,9,35.0,Chaco,Mayorista,F790545
2023-04-25,P007,Buzo Deportivo,C007,Fitness Pro,13,150.0,Neuquén,Mayorista,F975634
2024-03-03,P006,Gorra Visera,C009,ZonaActiva,11,35.0,Córdoba,Tienda,F557753
2023-10-12,P002,Remera Deportiva,C010,Running World,8,45.0,Salta,Tienda,F848844
2023-10-14,P004,Campera Rompeviento,C001,Deportes SA,17,210.0,Corrientes,Online,F814898
2024-06-22,P007,Buzo Deportivo,C009,ZonaActiva,2,150.0,Tucumán,Mayorista,F967813
2025-09-24,P005,Medias Técnicas,C007,Fitness Pro,17,25.0,Neuquén,Mayorista,F687911
2024-10-15,P001,Zapatillas Running,C006,UrbanFit,8,120.5,Neuquén,Tienda,F218212
2025-05-21,P007,Buzo Deportivo,C006,UrbanFit,2,150.0,Tucumán,Online,F855364
2025-06-10,P009,Mochila Gym,C004,Tiendas Centro,2,180.0,Corrientes,Tienda,F487056
2024-05-15,P001,Zapatillas Running,C007,Fitness Pro,18,120.5,Buenos Aires,Mayorista,F623671
2023-11-28,P003,Short Entrenamiento,C008,TodoDeporte,19,60.0,Entre Ríos,Online,F456770
2024-11-23,P003,Short Entrenamiento,C004,Tiendas Centro,6,60.0,Córdoba,Online,F984926
2025-05-01,P005,Medias Técnicas,C006,UrbanFit,19,25.0,Buenos Aires,Mayorista,F175417
2025-07-19,P004,Campera Rompeviento,C009,ZonaActiva,11,210.0,Salta,Tienda,F554922
2025-11-06,P010,Guantes Invierno,C006,UrbanFit,11,70.0,Mendoza,Online,F668829
2024-02-23,P010,Guantes Invierno,C007,Fitness Pro,5,70.0,Neuquén,Mayorista,F782818
2024-10-01,P003,Short Entrenamiento,C002,Indumentaria Norte,14,60.0,Chaco,Mayorista,F737993
2023-03-16,P008,Botines Futbol,C006,UrbanFit,5,250.0,Neuquén,Online,F898428
2023-06-19,P009,Mochila Gym,C007,Fitness Pro,8,180.0,Mendoza,Mayorista,F152912
2023-01-01,P006,Gorra Visera,C007,Fitness Pro,20,35.0,Santa Fe,Mayorista,F632129
2024-07-10,P010,Guantes Invierno,C008,TodoDeporte,10,70.0,Entre Ríos,Online,F142196
2024-12-06,P007,Buzo Deportivo,C007,Fitness Pro,17,150.0,Neuquén,Tienda,F530662
2023-07-11,P006,Gorra Visera,C008,TodoDeporte,6,35.0,Corrientes,Tienda,F667332
2025-01-02,P005,Medias Técnicas,C001,Deportes SA,19,25.0,Buenos Aires,Mayorista,F268175
2025-09-18,P010,Guantes Invierno,C003,Outlet Sur,1,70.0,Salta,Online,F558833
2023-01-17,P001,Zapatillas Running,C005,MegaSports,5,120.5,Mendoza,Tienda,F593274
2023-06-19,P004,Campera Rompeviento,C008,TodoDeporte,2,210.0,Santa Fe,Mayorista,F569746
2023-06-15,P008,Botines Futbol,C010,Running World,16,250.0,Buenos Aires,Tienda,F218208
2024-08-01,P007,Buzo Deportivo,C007,Fitness Pro,18,150.0,Salta,Mayorista,F492427
2024-05-29,P008,Botines Futbol,C008,TodoDeporte,8,250.0,Buenos Aires,Online,F307620
2025-10-31,P006,Gorra Visera,C007,Fitness Pro,7,35.0,Tucumán,Tienda,F149692
2025-10-25,P008,Botines Futbol,C007,Fitness Pro,13,250.0,Neuquén,Mayorista,F684430
2025-01-06,P009,Mochila Gym,C001,Deportes SA,3,180.0,Salta,Mayorista,F498495
2025-10-15,P010,Guantes Invierno,C006,UrbanFit,17,70.0,Salta,Mayorista,F765974
2023-02-25,P002,Remera Deportiva,C002,Indumentaria Norte,5,45.0,Buenos Aires,Mayorista,F995267
2023-07-15,P006,Gorra Visera,C006,UrbanFit,7,35.0,Mendoza,Online,F235696
2024-04-11,P001,Zapatillas Running,C009,ZonaActiva,6,120.5,Corrientes,Tienda,F497066
2024-01-31,P002,Remera Deportiva,C006,UrbanFit,1,45.0,Mendoza,Mayorista,F241297
2024-09-04,P006,Gorra Visera,C007,Fitness Pro,19,35.0,Neuquén,Online,F769280
2025-07-19,P004,Campera Rompeviento,C006,UrbanFit,4,210.0,Tucumán,Mayorista,F371726
2024-07-21,P009,Mochila Gym,C006,UrbanFit,1,180.0,Corrientes,Online,F699013
2024-01-12,P010,Guantes Invierno,C004,Tiendas Centro,7,70.0,Neuquén,Mayorista,F324907
2025-08-23,P010,Guantes Invierno,C004,Tiendas Centro,19,70.0,Buenos Aires,Tienda,F567496
2024-01-19,P004,Campera Rompeviento,C010,Running World,9,210.0,Entre Ríos,Tienda,F787045
2025-09-23,P002,Remera Deportiva,C004,Tiendas Centro,10,45.0,Santa Fe,Tienda,F190180
2023-10-07,P009,Mochila Gym,C006,UrbanFit,16,180.0,Córdoba,Online,F859853
2025-07-01,P009,Mochila Gym,C010,Running World,14,180.0,Córdoba,Mayorista,F898011
2024-01-03,P004,Campera Rompeviento,C007,Fitness Pro,8,210.0,Neuquén,Online,F605021
2025-12-15,P010,Guantes Invierno,C006,UrbanFit,7,70.0,Santa Fe,Tienda,F787036
2024-02-22,P005,Medias Técnicas,C010,Running World,3,25.0,Salta,Tienda,F805870
2024-01-15,P008,Botines Futbol,C008,TodoDeporte,8,250.0,Salta,Mayorista,F359918
2024-04-14,P008,Botines Futbol,C007,Fitness Pro,18,250.0,Salta,Tienda,F666674
2023-12-07,P005,Medias Técnicas,C010,Running World,12,25.0,Santa Fe,Online,F376096
2024-04-16,P008,Botines Futbol,C007,Fitness Pro,10,250.0,Mendoza,Mayorista,F917354
2024-10-29,P010,Guantes Invierno,C003,Outlet Sur,9,70.0,Tucumán,Mayorista,F348506
2023-08-31,P009,Mochila Gym,C004,Tiendas Centro,5,180.0,Buenos Aires,Tienda,F933846
2023-10-05,P002,Remera Deportiva,C002,Indumentaria Norte,20,45.0,Mendoza,Mayorista,F216391
2023-09-11,P010,Guantes Invierno,C007,Fitness Pro,15,70.0,Entre Ríos,Online,F714044
2023-01-20,P009,Mochila Gym,C008,TodoDeporte,15,180.0,Mendoza,Mayorista,F587910
2024-12-04,P005,Medias Técnicas,C008,TodoDeporte,17,25.0,Neuquén,Online,F979159
2024-01-03,P003,Short Entrenamiento,C004,Tiendas Centro,2,60.0,Mendoza,Tienda,F100630
2023-11-10,P005,Medias Técnicas,C003,Outlet Sur,15,25.0,Chaco,Online,F111605
2025-03-17,P003,Short Entrenamiento,C010,Running World,16,60.0,Entre Ríos,Mayorista,F348565
2024-10-12,P009,Mochila Gym,C004,Tiendas Centro,9,180.0,Mendoza,Tienda,F840753
2023-12-29,P001,Zapatillas Running,C001,Deportes SA,19,120.5,Corrientes,Mayorista,F354522
2024-10-27,P008,Botines Futbol,C005,MegaSports,20,250.0,Salta,Tienda,F577852
2025-04-28,P008,Botines Futbol,C007,Fitness Pro,9,250.0,Chaco,Online,F105277
2025-08-12,P001,Zapatillas Running,C006,UrbanFit,6,120.5,Buenos Aires,Tienda,F142902
2023-10-18,P008,Botines Futbol,C005,MegaSports,12,250.0,Entre Ríos,Tienda,F794128
2023-02-10,P010,Guantes Invierno,C010,Running World,3,70.0,Corrientes,Online,F991317
2023-04-19,P007,Buzo Deportivo,C002,Indumentaria Norte,20,150.0,Chaco,Online,F618959
2025-01-15,P008,Botines Futbol,C005,MegaSports,13,250.0,Buenos Aires,Tienda,F510189
2025-07-18,P008,Botines Futbol,C008,TodoDeporte,1,250.0,Córdoba,Online,F256264
2024-01-26,P002,Remera Deportiva,C002,Indumentaria Norte,3,45.0,Buenos Aires,Online,F249355
2025-04-04,P008,Botines Futbol,C006,UrbanFit,2,250.0,Neuquén,Tienda,F999624
2025-10-25,P010,Guantes Invierno,C010,Running World,4,70.0,Neuquén,Mayorista,F558059
2025-08-04,P002,Remera Deportiva,C008,TodoDeporte,19,45.0,Mendoza,Online,F173067
2023-02-19,P005,Medias Técnicas,C002,Indumentaria Norte,15,25.0,Neuquén,Online,F930851
2025-07-12,P007,Buzo Deportivo,C006,UrbanFit,14,150.0,Buenos Aires,Mayorista,F153759
2024-09-08,P004,Campera Rompeviento,C006,UrbanFit,1,210.0,Santa Fe,Tienda,F825915
2023-11-22,P004,Campera Rompeviento,C007,Fitness Pro,10,210.0,Mendoza,Online,F729735
2024-11-17,P009,Mochila Gym,C005,MegaSports,2,180.0,Buenos Aires,Tienda,F797181
2023-09-15,P008,Botines Futbol,C006,UrbanFit,4,250.0,Neuquén,Tienda,F333968
2024-06-23,P010,Guantes Invierno,C003,Outlet Sur,20,70.0,Buenos Aires,Mayorista,F141659
2023-01-31,P010,Guantes Invierno,C005,MegaSports,16,70.0,Córdoba,Tienda,F325263
2025-08-01,P003,Short Entrenamiento,C006,UrbanFit,13,60.0,Mendoza,Mayorista,F368902
2025-02-04,P009,Mochila Gym,C005,MegaSports,17,180.0,Santa Fe,Mayorista,F271452
2023-12-25,P010,Guantes Invierno,C008,TodoDeporte,1,70.0,Tucumán,Tienda,F685572
2025-01-06,P004,Campera Rompeviento,C004,Tiendas Centro,3,210.0,Córdoba,Tienda,F155480
2023-11-11,P003,Short Entrenamiento,C002,Indumentaria Norte,6,60.0,Córdoba,Online,F147819
2025-03-20,P009,Mochila Gym,C006,UrbanFit,12,180.0,Tucumán,Mayorista,F623562
2023-03-28,P008,Botines Futbol,C010,Running World,18,250.0,Entre Ríos,Online,F763645
2024-09-12,P006,Gorra Visera,C006,UrbanFit,1,35.0,Entre Ríos,Mayorista,F273550
2025-01-11,P010,Guantes Invierno,C008,TodoDeporte,15,70.0,Santa Fe,Mayorista,F741099
2024-07-21,P003,Short Entrenamiento,C010,Running World,16,60.0,Entre Ríos,Mayorista,F230359
2024-07-11,P002,Remera Deportiva,C005,MegaSports,13,45.0,Neuquén,Tienda,F605876
2024-09-10,P006,Gorra Visera,C009,ZonaActiva,13,35.0,Tucumán,Online,F176927
2024-03-04,P009,Mochila Gym,C007,Fitness Pro,1,180.0,Salta,Online,F966140
2023-04-30,P010,Guantes Invierno,C010,Running World,8,70.0,Tucumán,Online,F956616
2024-09-26,P003,Short Entrenamiento,C004,Tiendas Centro,5,60.0,Corrientes,Tienda,F201517
2023-12-18,P009,Mochila Gym,C005,MegaSports,4,180.0,Entre Ríos,Tienda,F296426
2024-11-05,P001,Zapatillas Running,C007,Fitness Pro,16,120.5,Santa Fe,Mayorista,F950769
2023-07-11,P006,Gorra Visera,C002,Indumentaria Norte,5,35.0,Santa Fe,Mayorista,F423180
2023-12-15,P003,Short Entrenamiento,C006,UrbanFit,9,60.0,Neuquén,Tienda,F902875
2024-01-17,P010,Guantes Invierno,C010,Running World,18,70.0,Buenos Aires,Tienda,F640156
2025-10-06,P008,Botines Futbol,C004,Tiendas Centro,17,250.0,Entre Ríos,Mayorista,F475245
2024-05-14,P009,Mochila Gym,C001,Deportes SA,10,180.0,Mendoza,Mayorista,F214268
2025-07-23,P001,Zapatillas Running,C001,Deportes SA,8,120.5,Santa Fe,Online,F652990
2023-06-23,P007,Buzo Deportivo,C001,Deportes SA,18,150.0,Chaco,Tienda,F485933
2023-08-01,P001,Zapatillas Running,C001,Deportes SA,3,120.5,Neuquén,Mayorista,F982262
2023-06-04,P003,Short Entrenamiento,C009,ZonaActiva,15,60.0,Chaco,Mayorista,F961483
2024-09-08,P005,Medias Técnicas,C005,MegaSports,5,25.0,Chaco,Mayorista,F666766
2023-01-08,P002,Remera Deportiva,C003,Outlet Sur,19,45.0,Tucumán,Online,F794528
2024-08-25,P009,Mochila Gym,C009,ZonaActiva,10,180.0,Corrientes,Tienda,F229424
2024-05-25,P006,Gorra Visera,C009,ZonaActiva,18,35.0,Entre Ríos,Tienda,F358213
2023-09-29,P007,Buzo Deportivo,C006,UrbanFit,3,150.0,Buenos Aires,Tienda,F862343
2023-06-04,P004,Campera Rompeviento,C010,Running World,10,210.0,Neuquén,Mayorista,F338005
2023-11-16,P006,Gorra Visera,C009,ZonaActiva,17,35.0,Tucumán,Mayorista,F143894
2024-01-05,P005,Medias Técnicas,C010,Running World,3,25.0,Salta,Online,F404291
2023-08-18,P001,Zapatillas Running,C006,UrbanFit,14,120.5,Chaco,Online,F711303
2024-11-22,P003,Short Entrenamiento,C002,Indumentaria Norte,8,60.0,Tucumán,Mayorista,F473042
2023-04-23,P008,Botines Futbol,C001,Deportes SA,17,250.0,Neuquén,Online,F286551
2025-09-05,P007,Buzo Deportivo,C003,Outlet Sur,9,150.0,Entre Ríos,Online,F476671
2024-04-14,P007,Buzo Deportivo,C002,Indumentaria Norte,17,150.0,Tucumán,Mayorista,F274526
2024-08-23,P003,Short Entrenamiento,C004,Tiendas Centro,9,60.0,Corrientes,Online,F756087
2025-11-06,P010,Guantes Invierno,C007,Fitness Pro,17,70.0,Corrientes,Tienda,F712790
2023-01-03,P010,Guantes Invierno,C007,Fitness Pro,11,70.0,Entre Ríos,Mayorista,F772348
2025-04-28,P008,Botines Futbol,C006,UrbanFit,7,250.0,Corrientes,Online,F743715
2023-04-08,P009,Mochila Gym,C005,MegaSports,17,180.0,Tucumán,Mayorista,F310174
2025-12-28,P002,Remera Deportiva,C004,Tiendas Centro,5,45.0,Chaco,Tienda,F361686
2023-07-19,P004,Campera Rompeviento,C003,Outlet Sur,2,210.0,Corrientes,Online,F664849
2025-01-24,P010,Guantes Invierno,C002,Indumentaria Norte,12,70.0,Salta,Online,F434656
2024-05-20,P004,Campera Rompeviento,C007,Fitness Pro,8,210.0,Mendoza,Online,F241814
2024-09-06,P006,Gorra Visera,C006,UrbanFit,16,35.0,Santa Fe,Online,F714468
2025-01-20,P002,Remera Deportiva,C002,Indumentaria Norte,10,45.0,Corrientes,Online,F442453
2024-04-03,P002,Remera Deportiva,C003,Outlet Sur,12,45.0,Santa Fe,Tienda,F866331
2025-03-02,P009,Mochila Gym,C002,Indumentaria Norte,12,180.0,Chaco,Mayorista,F249532
2023-02-27,P010,Guantes Invierno,C002,Indumentaria Norte,3,70.0,Chaco,Mayorista,F534780
2024-11-12,P009,Mochila Gym,C004,Tiendas Centro,4,180.0,Santa Fe,Mayorista,F610711
2024-10-24,P005,Medias Técnicas,C008,TodoDeporte,8,25.0,Neuquén,Tienda,F209389
2024-03-02,P009,Mochila Gym,C004,Tiendas Centro,6,180.0,Tucumán,Online,F137512
2023-02-04,P004,Campera Rompeviento,C002,Indumentaria Norte,9,210.0,Santa Fe,Tienda,F157068
2023-11-18,P005,Medias Técnicas,C008,TodoDeporte,17,25.0,Tucumán,Tienda,F771408
2024-01-07,P010,Guantes Invierno,C002,Indumentaria Norte,14,70.0,Buenos Aires,Online,F308517
2024-04-03,P003,Short Entrenamiento,C003,Outlet Sur,7,60.0,Salta,Tienda,F199950
2025-12-12,P003,Short Entrenamiento,C008,TodoDeporte,15,60.0,Córdoba,Online,F342547
2024-01-16,P005,Medias Técnicas,C001,Deportes SA,6,25.0,Tucumán,Tienda,F338043
2024-12-25,P005,Medias Técnicas,C009,ZonaActiva,4,25.0,Mendoza,Mayorista,F693042
2023-06-04,P003,Short Entrenamiento,C010,Running World,4,60.0,Entre Ríos,Online,F342977
2024-03-26,P010,Guantes Invierno,C001,Deportes SA,2,70.0,Santa Fe,Online,F232564
2025-02-08,P002,Remera Deportiva,C003,Outlet Sur,15,45.0,Salta,Tienda,F470138
2023-08-30,P004,Campera Rompeviento,C005,MegaSports,15,210.0,Chaco,Online,F602964
2023-09-04,P003,Short Entrenamiento,C010,Running World,12,60.0,Entre Ríos,Online,F749391
2023-05-09,P004,Campera Rompeviento,C005,MegaSports,18,210.0,Tucumán,Tienda,F522141
2024-02-27,P006,Gorra Visera,C006,UrbanFit,17,35.0,Entre Ríos,Mayorista,F190129
2023-09-16,P001,Zapatillas Running,C003,Outlet Sur,20,120.5,Chaco,Tienda,F833335
2023-05-08,P009,Mochila Gym,C004,Tiendas Centro,15,180.0,Neuquén,Tienda,F535747
2025-12-01,P009,Mochila Gym,C005,MegaSports,17,180.0,Neuquén,Mayorista,F185994
2024-07-26,P005,Medias Técnicas,C003,Outlet Sur,16,25.0,Salta,Online,F395003
2023-12-01,P006,Gorra Visera,C007,Fitness Pro,5,35.0,Salta,Online,F509284
2025-04-01,P005,Medias Técnicas,C007,Fitness Pro,8,25.0,Entre Ríos,Online,F631701
2024-09-12,P003,Short Entrenamiento,C009,ZonaActiva,7,60.0,Entre Ríos,Online,F563718
2024-12-28,P006,Gorra Visera,C007,Fitness Pro,7,35.0,Neuquén,Mayorista,F636075
2024-09-13,P010,Guantes Invierno,C006,UrbanFit,18,70.0,Neuquén,Mayorista,F106760
2024-02-03,P010,Guantes Invierno,C005,MegaSports,9,70.0,Buenos Aires,Online,F785362
2024-07-30,P003,Short Entrenamiento,C006,UrbanFit,2,60.0,Córdoba,Tienda,F759706
2025-04-09,P002,Remera Deportiva,C002,Indumentaria Norte,10,45.0,Corrientes,Tienda,F636655
2023-07-04,P006,Gorra Visera,C009,ZonaActiva,7,35.0,Chaco,Online,F550052
2025-04-21,P004,Campera Rompeviento,C006,UrbanFit,10,210.0,Salta,Online,F355173
2024-05-17,P002,Remera Deportiva,C010,Running World,4,45.0,Entre Ríos,Online,F828436
